Nama,Harga,Toko,Query
GIGABYTE x IMBA | Ryzen 9 7900X | RTX 4080 SUPER |32GB| Rakitan Gaming PC,Rp41.658.750,IMBA PC,rtx 4080
Lenovo Legion Pro 7 16 GeForce RTX 4080 - I9 14900HX 32GB 2TB OHS,Rp60.999.000,Lenovo Legion Official,rtx 4080
EZDIY-FAB EZ DIY PCIe 5.0 Adapter - 600W 12+4pin 16pin 12VHPWR GPU Power Connector 180 Degree Right Angle - Compatible with RTX 4070 Ti 4080 4090 Graphics Cards,Rp188.000,STAR17 COM,rtx 4090
EZDIY-FAB EZ DIY PCIe 5.0 Adapter - 600W 12+4pin 16pin 12VHPWR GPU Power Connector 90 Degree Right Angle - Compatible with RTX 4070 Ti 4080 4090 Graphics Cards,Rp210.000,STAR17 COM,rtx 4090
PC Rakitan Gaming | Intel Core i9 13900K / RTX 4090 / 64GB DDR5 / 2TB,Rp84.880.000,OneLine Game PC,rtx 4090
Ultimate PC Gaming | Ryzen 9 5950X / 128GB / RTX 4090 24GB / 5 TB SSD,Rp116.865.000,OneLine Game PC,rtx 4090
VGA ASUS ROG Strix GeForce RTX4090 RTX 4090 OC Edition 24GB GDDR6X,Rp39.915.000,MIJ KOMPUTER,rtx 4090
PC Build AMD Ryzen 9 9950X | 32GB DDR5 | X870 | 2TB GEN4 NVME | GEFORCE RTX 4090 24GB DDR6X | GAMING EDITING RENDER,Rp57.850.000,STAR17 COM,rtx 4090
PC Build Vision Lianli Intel core i9 14900KF - 64GB - RTX 4090 24GB,Rp88.900.000,STAR17 COM,rtx 4090
PC Render Gaming i9 13900K - 64GB DDR5 - 2TB SSD - RTX 4090 24GB DDR6X,Rp84.500.000,STAR17 COM,rtx 4090
PC HYTE Y70 Touch Infinite Intel core i9 14900KS - 32GB DDR5 - 4TB NVME GEN5 - VGA RTX 4090 24GB White,Rp98.500.000,STAR17 COM,rtx 4090
PC RENDER WORKSTATION AMD THREADRIPPER PRO 5965WX + VGA RTX 4090 24GB,Rp100.000.000,STAR17 COM,rtx 4090
"Laptop Lenovo Legion 5 15 Intel Core i7 13650HX RTX 5050 8 GB RAM 16 gb SSD 512 GB Windows 11 + Office Home Student 15.3"" WUXGA 165Hz 100Srgb",Rp19.749.000,Gamer ID Surabaya,rtx 5050
ZOTAC GAMING NVIDIA GeForce RTX 5050 Twin Edge OC 8GB DDR7,Rp4.515.000,STAR17 COM,rtx 5050
Palit Nvidia GeForce RTX 5050 StormX 8 GB GDDR6,Rp4.635.000,STAR17 COM,rtx 5050
Lenovo LOQ 15IRX10 Core i7-13700HX RTX 5050 | RAM 12GB DDR5 | SSD 512GB | 15.6” FHD 144Hz 100% sRGB | G-SYNC | Win 11 + OHS 2024,Rp18.281.000,Atrinity_NEW,rtx 5050
ASUS ROG G615JHR I7N55C6G HM STRIX G16 – Intel Core i7 14650HX  16GB RAM  512GB SSD  RTX 5050 8GB  Windows 11 + Office Home & Student 2024 + Microsoft 365  16” 2.5K IPS ROG Nebula Display  Bonus Tas & Mouse  Eclipse Grey,Rp28.507.000,Agres ID Semarang.,rtx 5050
Lenovo Legion 5 15IRX10 Core i7-13650HX 16GB 512GB SSD RTX 5050 8GB GDDR7 W11 OH 2024,Rp20.499.000,Lenovo Official,rtx 5050
"Laptop ASUS GAMING V16 V3607VH Intel Core 7 240H GeForce RTX 5050 8GB RAM 16 GB SSD 512 GB Windows 11 + Office Home Student 16"" Inch WUXGA 144Hz Refresh Rate",Rp16.529.000,Gamer ID Surabaya,rtx 5050
Lenovo LOQ 15IRX10 Core i7-13700HX 12GB 512GB SSD RTX 5050 8GB GDDR7 W11 OH,Rp19.499.000,Lenovo Official,rtx 5050
LENOVO GAMING LEGION 5i 15IRX10 E9ID INTEL CORE i7-13650HX 16GB 512GB RTX 5050 8GB GDDR7 WIN 11 HOME + OH 2024,Rp19.578.000,Expocomp,rtx 5050
Laptop Acer Nitro V 15 Intel Core I7 13620H RTX 5050 8 GB RAM 16 GB SSD 512 GB Windows 11 + office Home Student 15.6 Full HD 180Hz 100Srgb,Rp17.699.000,Gamer ID Surabaya,rtx 5050
MANLI Nebula GeForce RTX 5060 Ti 16GB GDDR7 VGA 5060TI,Rp8.025.000,Starcomp Semarang,rtx 5060
MSI GeForce RTX 5060 8GB GDDR7 - Gaming TRIO OC,Rp6.875.000,Enter Komputer Official,rtx 5060
Colorful nvidia GeForce RTX 5060 8GB NB EX DDR7 | GAMING,Rp6.199.000,STAR17 COM,rtx 5060
PALIT NVIDIA GEFORCE RTX 5060 DUAL 8GB GDDR7 | GAMING VGA,Rp5.620.000,STAR17 COM,rtx 5060
ZOTAC GAMING NVIDIA GeForce RTX 5060 Ti 16GB Twin Edge DDR7 OC EDITION,Rp8.175.000,STAR17 COM,rtx 5060
Gigabyte Nvidia GeForce RTX 5060 8GB WINDFORCE OC DDR7,Rp5.985.000,STAR17 COM,rtx 5060
ZOTAC GAMING NVIDIA GeForce RTX 5060 SOLO 8GB DDR7 | Warranty 3 year,Rp5.375.000,STAR17 COM,rtx 5060
MSI NVIDIA GeForce RTX 5060 Ti 16GB SHADOW 2X OC PLUS OC DDR7 | GAMING,Rp8.299.000,STAR17 COM,rtx 5060
GIGABYTE NVIDIA GeForce RTX 5060 Ti WINDFORCE 16GB DDR7 | NON OC,Rp8.340.000,STAR17 COM,rtx 5060
GALAX NVIDIA GeForce RTX 5060 1-CLICK OC 8GB GDDR7,Rp5.750.000,STAR17 COM,rtx 5060
Zotac GeForce RTX 5070 12GB GDDR7 AMP White,Rp10.491.000,Enter Komputer Official,rtx 5070
Gainward NVIDIA GeForce RTX 5070 Ti Phantom 16GB DDR7 | GAMING VGA,Rp13.799.000,STAR17 COM,rtx 5070
ZOTAC GAMING NVIDIA GeForce RTX 5070 AMP 12GB DDR7 White Edition,Rp10.085.000,STAR17 COM,rtx 5070
VGA Card MSI GeForce RTX 5070 Ti 16G SHADOW 3X OC - 16GB GDDR7,Rp16.019.000,NVIDIA GEFORCE,rtx 5070
ZOTAC GAMING NVIDIA GeForce RTX 5070 SOLID OC 12GB DDR7 - BLACK,Rp10.399.000,STAR17 COM,rtx 5070
ZOTAC GAMING NVIDIA GeForce RTX 5070 Twin Edge OC 12GB GDDR7,Rp10.060.000,STAR17 COM,rtx 5070
Gainward NVIDIA GeForce RTX 5070 Phoenix 12GB DDR7,Rp10.500.000,STAR17 COM,rtx 5070
MSI GeForce RTX 5070 12G SHADOW 2X OC,Rp11.225.000,Redcomp,rtx 5070
MSI Geforce RTX 5070 Ti 16G VENTUS 3X OC,Rp16.503.000,Redcomp,rtx 5070
MSI GeForce RTX 5070 12G GAMING TRIO OC WHITE,Rp13.638.000,Redcomp,rtx 5070
MANLI POLAR FOX NVIDIA GeForce RTX 5080 OC 16GB GDDR7,Rp18.810.000,STAR17 COM,rtx 5080
VGA Card Gigabyte GeForce RTX 5080 AERO OC SFF 16G - 16GB GDDR7,Rp27.200.000,NVIDIA GEFORCE,rtx 5080
VGA Card Gigabyte GeForce RTX 5080 WINDFORCE OC SFF 16G - 16GB GDDR7,Rp21.460.000,NVIDIA GEFORCE,rtx 5080
MSI Geforce RTX 5080 16G GAMING TRIO OC,Rp25.057.000,Redcomp,rtx 5080
MSI Geforce RTX 5080 16G SHADOW 3X OC,Rp20.747.000,Redcomp,rtx 5080
ASUS TUF Gaming GeForce RTX 5080 16GB GDDR7 OC Edition,Rp28.589.000,ASUS COMPONENT,rtx 5080
ZOTAC GAMING GeForce RTX 5080 SOLID OC 16GB GDDR7 - VGA Card,Rp21.539.000,JnJ Online,rtx 5080
MSI GeForce RTX 5080 16GB VANGUARD SOC GDDR7 - VGA Card,Rp25.990.000,JnJ Online,rtx 5080
LENOVO GAMING LEGION PRO 7-16IAX10H 8YID BLACK INTEL CORE ULTRA 9-275HX 32GB 1TB SSD RTX 5080 16GB GDDR7 WIN 11 + OH 2024,Rp57.356.000,Lenovo Legion Store Surabaya,rtx 5080
VGA ZOTAC GAMING GeForce RTX 5080 / RTX5080 SOLID OC,Rp20.030.000,RedTeknologi-Redcom,rtx 5080
MSI Geforce RTX 5090 32G VENTUS 3X OC,Rp46.460.000,Redcomp,rtx 5090
GAINWARD GeForce RTX 5090 Phantom 32GB GDDR7,Rp41.999.000,Julyaugustshop,rtx 5090
ZOTAC GAMING GEFORCE RTX 5090 SOLID OC WHITE EDITION 32GB GDDR7 ZT-B50900Q-10P,Rp45.199.000,SOS SPORT ONLINE SHOP,rtx 5090
ASUS ROG ASTRAL LC GEFORCE RTX 5090 OC EDITION 32GB GDDR7,Rp65.699.000,SOS SPORT ONLINE SHOP,rtx 5090
ASUS ROG Strix SCAR 16 G635LX GeForce RTX 5090 - ULTRA 9 275HX RAM 64GB 2TB SSD 240Hz,Rp81.999.000,NVIDIA GeForce Laptop,rtx 5090
ASUS ROG Strix SCAR 18 G835LX GeForce RTX 5090 - ULTRA 9 275HX RAM 64GB 2TB SSD 240Hz,Rp85.898.000,NVIDIA GeForce Laptop,rtx 5090
LENOVO LEGION PRO 7i 16 GeForce RTX 5090 - OLED ULTRA 9 275HX 32GB 1TB 16.0WQXGA,Rp70.399.000,NVIDIA GeForce Laptop,rtx 5090
VGA ZOTAC GAMING RTX 5090 AMP Extreme INFINITY 32GB GDDR7,Rp49.252.000,Blessing Computer Bali,rtx 5090
NVIDIA RTX 5090 Founders Edition NVIDIA RTX 5090 Jaminan Harga Termurah !!!,Rp74.998.000,Urbanlife.Store,rtx 5090
MSI GeForce RTX 5090 GAMING TRIO 32GB OC GDDR7 - VGA RTX5090 DDR7 Blackwell VGA Graphic Card,Rp47.785.000,Galaxy Solusindo,rtx 5090
